variable_1	variable_2	mutual_information	nmi	permutation_p_value
Race (choice=White)	Race (choice=Asian)	0.15407610367102884	0.9999999999999962	0.00398406374501992
Race (choice=Other)	specify other race	0.15407610367102884	0.9999999999999962	0.00398406374501992
Race (choice=American Indian/ Alaska Native)	Hispanic/Latino	0.06458143637762784	0.7074997266999346	0.02390438247011952
Age of onset cognitive symptoms	Age of Dementia diagnosis	0.44163643216556414	0.6285802608892805	0.00398406374501992
Overall AD neuropathological Change	Thal	0.8640747393840258	0.6196165607488209	0.00398406374501992
Interval from last CASI in months	Interval from last MMSE in months	0.9418837222479008	0.5853296062299019	0.00398406374501992
Cognitive Status	Consensus Clinical Dx (choice=Control)	0.3900912464124175	0.5747734364272458	0.00398406374501992
Highest level of education	Years of education	0.8221944894654921	0.5451715617921318	0.00398406374501992
Consensus Clinical Dx (choice=Other)	If other Consensus dx, describe	0.2449742664892213	0.49897119675265017	0.00398406374501992
Primary Study Name	Interval from last CASI in months	0.42468860392608226	0.4887466442018879	0.00398406374501992
Total Microinfarcts (not observed grossly)	Total microinfarcts in screening sections	0.26816331000532734	0.47276322146782934	0.00398406374501992
Cognitive Status	Age of onset cognitive symptoms	0.38826128970012896	0.46316183280126055	0.00398406374501992
Primary Study Name	Last CASI Score	0.39591583092609106	0.45573315329297903	0.00398406374501992
Overall AD neuropathological Change	CERAD score	0.5754600013671323	0.4544734903139337	0.00398406374501992
Overall AD neuropathological Change	Braak	0.5689730690911565	0.42934282145165614	0.00398406374501992
Race (choice=American Indian/ Alaska Native)	Race (choice=Other)	0.04184878750995595	0.41952841950131503	0.02390438247011952
Race (choice=American Indian/ Alaska Native)	specify other race	0.04184878750995595	0.41952841950131503	0.02390438247011952
Cognitive Status	Consensus Clinical Dx (choice=Alzheimers disease)	0.24270859553008645	0.380495253337154	0.00398406374501992
Age of onset cognitive symptoms	Consensus Clinical Dx (choice=Control)	0.2879686902159414	0.3508406338027019	0.00398406374501992
Thal	CERAD score	0.489617857662431	0.33563592119469465	0.00398406374501992
Braak	CERAD score	0.44515404073261006	0.32111625690815015	0.00398406374501992
specify other race	Hispanic/Latino	0.042140947234857576	0.29888841093654583	0.043824701195219126
Race (choice=Other)	Hispanic/Latino	0.042140947234857576	0.29888841093654583	0.07569721115537849
Last CASI Score	Interval from last CASI in months	0.45364427512008054	0.28197669064038594	0.00398406374501992
Secondary Study Name	Consensus Clinical Dx (choice=Dementia with Lewy Bodies/ Lewy Body Disease)	0.037803572348160785	0.27034141012718166	0.08764940239043825
